DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
030423;000000;218.45;219.44;214.8;216.09;54788980
040423;000000;216.2;217.29;213.8;214.83;45747250
050423;000000;214.69;216.3;211.4;216.15;46127960
060423;000000;216.3;217.38;214.07;214.25;38993420
070423;000000;214.5;216.39;213.65;216.27;29157060
100423;000000;217.1;222.26;216.61;222.21;84958930
110423;000000;222.9;223.33;217.62;218.6;98349200
120423;000000;218.62;219.7;216.67;219.22;44633200
130423;000000;219.41;220.89;218;219.85;32580550
140423;000000;219.99;222.5;218.51;221.87;43248810
170423;000000;222.97;228.2;222.91;228.1;78562510
180423;000000;227.89;232.76;227.05;232.66;97459980
190423;000000;232.67;237.37;231.1;232.95;115494020
200423;000000;233.32;236.47;229.84;236.28;85046740
210423;000000;237.4;238.85;233.52;235.17;115606560
240423;000000;235.09;236.4;234.1;235.1;30405040
250423;000000;235.16;235.82;234.21;235.3;32063750
260423;000000;235.55;235.95;234.91;235.21;24351620
270423;000000;235.51;240.74;235.13;240.38;68224840
280423;000000;240.86;241.58;237.66;240.38;49494960
020523;000000;242.2;245;237.4;242.62;83246880
030523;000000;242.85;242.99;234;235.77;76740930
040523;000000;236.51;239.74;236.05;238.89;53006840
050523;000000;239.19;240.66;237.3;237.7;61314710
080523;000000;238.65;239.86;237.36;238.27;47676110
100523;000000;216.51;227.5;215.7;227.06;154134860
110523;000000;228.57;235.38;223.94;229.32;197037380
120523;000000;231.05;232.47;226.15;229.29;69831820
150523;000000;230.54;231.75;228.52;231.7;48873370
160523;000000;232.4;232.86;229.57;230.62;36429340
170523;000000;229.86;230.97;228.75;230.55;31635370
180523;000000;231.72;234.49;230.72;231.7;55909060
190523;000000;230.98;232.3;229.81;231.27;31540330
220523;000000;232.2;232.78;230;231;26351890
230523;000000;231.24;237.29;230.21;236.43;62996030
240523;000000;237.49;246.13;236.26;246.06;85850770
250523;000000;246.11;247.4;242.65;243.76;70582820
260523;000000;243.49;249.64;242.81;248.1;69113640
290523;000000;249.77;252.59;248.85;251.18;67591330
300523;000000;248.84;250.85;243.8;244.65;82871290
310523;000000;244;247.18;240.27;246.17;72797140
010623;000000;247;247;240.57;241.66;51897410
020623;000000;242.01;245.5;240.77;243.95;46465000
050623;000000;243.51;244.15;235.1;237.12;78650640
060623;000000;236;242.1;232.54;240.91;100337100
070623;000000;241.23;244.39;238.56;241.25;63082450
080623;000000;241.3;242.78;239.55;241.77;29851820
090623;000000;242.79;243;240.11;240.4;27458600
130623;000000;241.51;244.5;240.63;244.33;40478120
140623;000000;245.7;247.68;242.8;244.6;51810860
150623;000000;245.12;245.94;243.22;245.18;40015310
160623;000000;245.5;245.9;243.7;243.87;23311220
190623;000000;244.46;244.69;241.32;242.28;29777860
200623;000000;241.95;242.22;238.82;241.74;36578050
210623;000000;241.9;243.92;240.6;242.2;26644780
220623;000000;242.1;242.8;240.13;240.66;23093570
230623;000000;239.96;240.99;234.34;235.67;61661860
260623;000000;239.6;240.5;233.4;238.4;81032100
270623;000000;239.02;242.34;236.8;241.21;51321260
280623;000000;241.8;241.8;238.6;239.67;28217550
290623;000000;239.75;241.26;239.02;239.99;28077670
300623;000000;240;240.68;238.36;239.61;24011230
030723;000000;240;244.56;239.15;243.33;47207170
040723;000000;243.45;243.78;240.61;240.7;41487820
050723;000000;241.48;241.9;240.24;240.95;19841190
060723;000000;241.45;242.47;240.71;240.96;23175870
070723;000000;241.2;243.75;240.7;243.67;30201090
100723;000000;244.22;249.45;244.2;249.4;64946220
110723;000000;250.02;250.2;246.51;247.99;49073930
120723;000000;248.39;249.2;246.1;247.52;39166310
130723;000000;247.96;248.15;245.34;246.19;29474970
140723;000000;246.3;247.05;244.51;246.45;25576610
170723;000000;244.76;246.2;243.6;245.39;35730950
180723;000000;245.6;247.5;245.26;246.77;35911790
190723;000000;247.21;248.1;245;245.85;31394740
200723;000000;246.25;246.25;242.15;242.7;35960520
210723;000000;243.17;244.53;241.7;244.13;32120690
240723;000000;243.99;245.85;243.52;244.87;19681330
250723;000000;245.37;247.77;244.81;247.2;39683790
260723;000000;247.22;248.33;245.9;247.05;26031980
270723;000000;247.51;249.3;247.24;247.95;39756100
280723;000000;247.99;249.45;246.67;249.25;35742280
310723;000000;251.35;267.77;251.35;267.4;167081570
010823;000000;268.98;273.35;264.1;268.5;162474350
020823;000000;268.53;269.97;266.52;268.57;48208590
030823;000000;269.01;271.35;266.8;269.11;75376240
040823;000000;269.48;272.96;261.21;264.12;132164900
070823;000000;266.5;268.09;260.5;261.92;61223950
080823;000000;261.91;265.44;258.8;264.62;65005790
090823;000000;265.46;265.8;263.05;263.91;34850720
100823;000000;264.72;267.5;263.96;266.91;37190100
110823;000000;267.2;267.4;264.8;266.23;24716230
140823;000000;267.37;268.77;259.15;260.45;86583040
150823;000000;259.1;264.17;256.63;260.42;58967150
160823;000000;261.29;261.68;254.33;256.02;71737910
170823;000000;257.19;258.8;255.5;258.5;35682720
180823;000000;258.39;261.37;257.35;261.14;30973320
210823;000000;262.33;263.06;259.51;261.15;35622200
220823;000000;261.9;262.11;259.81;261.45;25893210
230823;000000;261.55;261.83;256;256.4;53079140
240823;000000;257.62;259.94;256.4;259.63;26823420
250823;000000;258.8;261.6;257.61;260.5;28518670
280823;000000;261.25;267.83;260.81;266.93;57849930
290823;000000;266.62;267.56;265.14;265.68;35291820
300823;000000;265.73;267.36;263.1;264.7;38578950
310823;000000;265.05;266.25;264.3;264.85;22557030
010923;000000;265.4;265.62;264.06;265;19248500
040923;000000;266.5;269.11;266;267.39;47933710
050923;000000;266.97;267.98;261.09;264.75;39642920
060923;000000;264.33;264.68;262.31;263.5;28244090
070923;000000;263.52;264.97;256.1;258.79;67608570
080923;000000;258.45;259.33;253.1;255.68;49455340
110923;000000;257;258.37;255.16;256.25;43042300
120923;000000;257.69;262.4;257.09;262.4;45008650
130923;000000;262.38;262.77;257.59;258.18;29971320
140923;000000;258.85;261.38;255.02;260;46153720
150923;000000;259.8;262.74;258.56;260.83;35455920
180923;000000;262.06;263;258.76;259.07;28891500
190923;000000;258.93;259.32;251.5;252.72;89480280
200923;000000;252.81;255.47;249.82;253.77;66610520
210923;000000;252.94;254.2;249.81;250.16;58854870
220923;000000;249.85;253.1;248.62;251.99;40406630
250923;000000;252.11;253.49;249.83;252.65;31834270
260923;000000;252.2;257.17;250.9;255.87;42923170
270923;000000;256.26;257.85;254.63;256.1;27795730
280923;000000;256.22;258.25;255.5;257.67;26289900
290923;000000;257.99;262.59;256.71;260.72;68503050
021023;000000;261.38;261.92;257.03;258.98;35447350
031023;000000;258.99;260.5;257.23;259.65;23815150
041023;000000;259;260.39;258.24;259.53;18510890
051023;000000;260.71;261.39;258.26;259.38;23254560
061023;000000;259.77;263.4;257.86;262.93;31980230
091023;000000;263.02;265.97;263;265.25;45189600
101023;000000;264.9;265.18;257;263;33744090
111023;000000;263.18;263.99;259.5;260.21;29440350
121023;000000;260.03;264.5;259.66;264.5;27421510
131023;000000;264.75;265.04;262.7;263.51;18351530
161023;000000;263.99;269.2;263.51;268.15;53677710
171023;000000;268.25;271.97;266.91;270;51107660
181023;000000;270;271.19;266.11;267.9;40249640
191023;000000;267.14;271;266.28;268.65;33466930
201023;000000;268.5;270.3;266.5;269.8;32851790
231023;000000;270.47;274.1;269.65;270.1;62301840
241023;000000;270.03;272.06;268.62;271.27;27975250
251023;000000;271.5;274.96;270.53;273.73;41764060
261023;000000;274.1;276;269.12;269.9;59466100
271023;000000;270;271.98;266.8;269.7;49735190
301023;000000;269.9;271.55;268.6;269.89;33261680
311023;000000;269.91;270.5;266.87;268.35;26117980
011123;000000;268.29;270.3;267.6;269.68;20587810
021123;000000;270.01;270.98;268.5;269.06;25499750
031123;000000;269.07;269.78;267.2;268.54;20968810
061123;000000;269;273.87;268.62;273.42;29231770
071123;000000;273.08;274.78;272.2;273.31;32183320
081123;000000;273.53;278.35;273.28;278.15;58000060
091123;000000;278.6;278.85;276.02;276.65;28258660
101123;000000;276.99;281.3;276.6;280.19;44600220
131123;000000;280.4;284.8;280.32;283.97;45780320
141123;000000;283.66;283.88;280.54;280.87;40350240
151123;000000;280.87;283.93;278.51;282.89;41784490
161123;000000;282.4;283.69;279.56;279.7;24654700
171123;000000;279.69;282.5;278.66;281.6;31282610
201123;000000;281.8;284.2;281.61;282.91;25219810
211123;000000;282.29;283.82;281.66;282.79;19027720
221123;000000;283.14;286.67;282.85;286.16;47267490
231123;000000;286.16;287.77;285.04;286.19;27692900
241123;000000;286.48;287.5;285.11;286.85;26019540
271123;000000;287.41;289;278.88;282.33;79026910
281123;000000;282.4;282.51;277.32;279.91;45475110
291123;000000;279.48;280.56;276.2;276.8;29776060
301123;000000;276.71;278.65;272.75;277.5;55837620
011223;000000;277.04;277.98;273.55;273.97;31604310
041223;000000;273.59;274.95;270.52;270.96;37456310
051223;000000;271.97;279.65;270.54;279.62;46800410
061223;000000;279.92;280.79;266.83;267.58;99849690
071223;000000;267.74;270.44;263.06;265.12;63509590
081223;000000;266.01;268.23;263.72;265.16;35322130
111223;000000;265.17;266.47;254.81;256.89;77590450
121223;000000;256.79;262.88;255.05;257.6;63807080
131223;000000;257.58;261.39;256.5;260.45;29760860
141223;000000;261.4;262.75;255.58;256.64;40477500
151223;000000;256.61;268.91;256.61;268.21;84643800
181223;000000;268.9;270.44;266.54;268.4;51515190
191223;000000;268.35;269.71;265;267.35;38229660
201223;000000;267.52;269.1;266.2;266.61;30929220
211223;000000;266.55;266.87;263.5;265.19;33214370
221223;000000;266.07;271.9;265.37;271.3;58687300
251223;000000;271.75;273.85;270.05;271.08;37827910
261223;000000;271;272.89;270;271.9;22575240
271223;000000;271.9;272.59;270.85;271.08;17191450
281223;000000;270.99;272.48;268.52;271.74;29416450
291223;000000;272.08;272.59;270.55;270.82;20792860
030124;000000;271.75;274.7;271;274.56;20408560
040124;000000;274.68;275.48;273.7;274.12;11679550
050124;000000;274.3;274.69;272.8;273.62;9622380
080124;000000;273.59;277;273.53;276.76;21427450
090124;000000;276.94;278;274.71;275.28;20263120
100124;000000;275.3;276.16;273.64;274.49;20618950
110124;000000;274.62;275.97;274.01;275.71;19520470
120124;000000;275.9;276.96;274.77;275.84;17608350
150124;000000;276.3;277.73;275.21;275.96;21283290
160124;000000;276.24;276.45;274.1;276.01;16084140
170124;000000;276.02;279.17;275.75;278;34137100
180124;000000;278.22;278.87;276.76;277.07;17671830
190124;000000;277.39;277.47;273.55;274.86;28038880
220124;000000;274.89;275.9;273.85;274.93;15050630
230124;000000;274.69;277.26;274.31;275.9;20017040
240124;000000;275.94;276.44;273.7;273.77;20187430
250124;000000;274.03;274.18;271.55;272.81;24422490
260124;000000;273.1;273.72;272.21;272.65;11102660
290124;000000;273.05;274.95;272.7;274.05;17043130
300124;000000;274.05;277.25;273.97;275.67;27222730
310124;000000;275.8;276.45;275;276;12527800
010224;000000;276.07;277.75;275.93;276.86;15941680
020224;000000;277.01;277.3;276;276.74;12688460
050224;000000;276.94;278.57;276.9;277.84;16017040
060224;000000;278;278.99;277.3;278.67;15925370
070224;000000;278.81;284.5;278.81;284.41;45347300
080224;000000;284.56;286.24;281.25;282.17;44060410
090224;000000;282.16;284;281.5;283.5;24301430
120224;000000;283.67;287.84;283.5;287.28;33867350
130224;000000;287.52;289;285.4;287.07;33266090
140224;000000;287.08;290.6;286.84;289.06;35814960
150224;000000;289.26;290.45;287.63;290.24;25888540
160224;000000;290.47;292.3;286.25;288.33;53426930
190224;000000;288.59;289.98;287.07;288.93;24275510
200224;000000;289.23;289.28;283.29;283.9;44931560
210224;000000;283.91;285.28;280.2;282;48809450
220224;000000;282.24;285.05;282.1;284.77;25107350
260224;000000;288.52;291.3;287;291.25;42606720
270224;000000;291.34;293;290.55;292.52;32411030
280224;000000;292.61;293.95;289.75;291.75;49212360
290224;000000;292.3;293.2;291.3;292.19;22398680
010324;000000;292.21;295.88;292.21;295.38;27050460
040324;000000;295.8;299.5;295.8;299.17;40526260
050324;000000;299.32;300.41;297.57;298.4;41691010
060324;000000;298.19;299.33;296.82;297.71;17675740
070324;000000;297.72;300.58;297.24;300.4;21933870
110324;000000;300.99;302.95;298.5;299.79;41634000
120324;000000;299.54;301.07;297.34;300.9;28579520
130324;000000;301.2;301.49;298.7;298.85;23980400
140324;000000;298.47;298.7;295.14;295.83;42076250
150324;000000;295.75;299.44;295.29;298.3;26002750
180324;000000;299.41;299.98;297.63;298.87;20213950
190324;000000;298.3;299.4;294.21;295.2;59646690
200324;000000;295.4;296.88;293.52;295.4;30646650
210324;000000;295.95;297.3;291.8;295.62;70581560
220324;000000;295.77;296.79;291.05;292.99;48966360
250324;000000;294;294.93;292.13;293.9;25449910
260324;000000;294.44;295.82;293.04;294.11;16268420
270324;000000;294.45;295.11;293.47;295.1;14531720
280324;000000;295.51;299.3;295.51;299;33617440
290324;000000;299.37;299.5;298;298.72;17644190
010424;000000;299.99;301.65;299.5;300.43;28378290
020424;000000;300.42;300.99;298.95;300.38;19900790
